Country,Year,Dentists,Midwifes,Nurses,Pharmacists,Physicians
Australia,2000,,,,,7.36
Australia,2001,1.71,2.55,50.44,3.9,7.01
Australia,2002,1.77,2.53,52.27,4.34,7.27
Australia,2003,1.88,2.83,51.44,4.39,8.34
Australia,2004,1.94,3.39,53.7,5.78,8.69
Australia,2005,1.96,3.13,50.78,6.28,8.91
Australia,2006,2.05,3.28,53.07,6.6,9.21
Australia,2007,2.38,3.31,58.16,7.58,10.16
Australia,2008,2.6,3.02,61.62,7.75,11.24
Australia,2009,2.91,3.42,63.49,8.27,10.88
Australia,2010,3.02,4.19,67.57,8.91,12.08
Australia,2011,3.06,4.46,71.64,8.11,13.48
Australia,2012,3.18,4.59,71.68,8.69,13.98
Australia,2013,3.87,4.66,74.81,8.53,15.45
Australia,2014,3.67,4.8,75.84,8.81,15.31
Australia,2015,4.02,4.45,76.8,8.12,15.75
Australia,2016,4,5.12,81.99,8.55,15.95
Australia,2017,3.88,5.44,84.57,8.75,15.45
Australia,2018,3.9,5.13,96.1,8.48,15.85
Australia,2019,4.03,5.48,109,8.97,15.87
Australia,2020,3.17,5.09,108.04,7.73,14.96
Australia,2021,3.8,5.35,115.72,8.51,15.36
Australia,2022,4.51,5.84,121.1,8.8,15.66
Austria,2000,0.41,0,34.35,2.27,14.19
Austria,2001,0.3,0.65,28.95,2.57,18.58
Austria,2002,1.41,0.87,30.88,2.15,12.79
Austria,2003,2.03,0.06,30.68,3.31,21.89
Austria,2004,0.88,0.94,35.5,3.08,18.59
Austria,2005,0.81,0.61,30.35,3.1,20
Austria,2006,1.12,0.33,34.48,3.12,18.98
Austria,2007,1.22,0.96,34.09,2.35,17.55
Austria,2008,1.33,0.54,39.94,2.1,22.05
Austria,2009,1.41,0.7,33.52,2.65,21.75
Austria,2010,1.6,1.09,34.85,2.7,20.64
Austria,2011,1.56,0.6,34.44,2.46,17.48
Austria,2012,1.5,0.58,35.76,2.73,16.77
Austria,2013,1.27,1.62,36.99,2.47,13.8
Austria,2014,1.24,0.7,33.84,3.27,14.74
Austria,2015,1.63,0.9,31.8,2.92,14.54
Austria,2016,2.23,1.26,34.44,3.18,13.94
Austria,2017,2.09,0.96,32.31,3.5,14.19
Austria,2018,2.36,0.91,38.06,3.1,15.23
Austria,2019,2.74,1.59,39.63,3.59,13.99
Austria,2020,2.58,0.83,41.91,3.48,14.44
Austria,2021,2.76,1.53,32.54,3.53,16.25
Austria,2022,2.97,1.17,45.4,3.51,16.19
Belgium,2000,2.15,2.86,44.71,4.2,10.14
Belgium,2001,2.16,2.66,44.28,4.29,11.13
Belgium,2002,1.62,3.1,43.3,4.15,10.22
Belgium,2003,1.29,3.36,42,4.44,11.5
Belgium,2004,1.11,3.85,38.22,3.66,8.01
Belgium,2005,1.02,3.92,39.57,4.37,7.28
Belgium,2006,1.37,4.84,31.51,4.57,6.46
Belgium,2007,1.13,4.41,33.56,3.5,6.89
Belgium,2008,1.14,5.59,32.46,3.7,7.08
Belgium,2009,1.44,6.11,37.25,4.42,7.88
Belgium,2010,1.57,5.95,41.69,4.89,8.99
Belgium,2011,1.33,3.89,37.66,4.6,10.23
Belgium,2012,1.47,4.71,42.78,5.28,10.66
Belgium,2013,1.63,4.68,47.69,5.31,10.57
Belgium,2014,1.96,4.19,47.54,5.6,11.53
Belgium,2015,2.06,5.02,49.84,5.13,12.09
Belgium,2016,2.09,5.13,55.21,5.27,14.29
Belgium,2017,2.25,5.44,57.04,4.74,14.84
Belgium,2018,2.55,6.94,63.16,4.82,28.78
Belgium,2019,2.44,4.93,31.14,4.96,17.62
Belgium,2020,2.35,5.63,45.14,5.21,16.66
Belgium,2021,2.41,5.23,46.94,5.17,16.43
Belgium,2022,1.99,5.51,46.18,5.88,15.75
Belgium,2023,2.19,5.67,42.17,5.67,14.81
Bulgaria,2000,3.48,2.48,10.13,,11.32
Bulgaria,2001,3.76,1.26,8.25,2.53,10.85
Bulgaria,2002,4.22,1.26,7.23,1.89,9.89
Bulgaria,2003,2.79,1.31,5.26,2.39,7.78
Bulgaria,2004,2.57,1.4,4.63,2.67,7.02
Bulgaria,2005,3.2,1.07,3.85,2.78,6.12
Bulgaria,2006,2.78,1.14,3.66,1.97,5.6
Bulgaria,2007,2.9,0.54,1.1,2.32,6.03
Bulgaria,2008,2.96,1.52,4.47,1.83,7.74
Bulgaria,2009,3.12,1.57,5.02,2.86,6.76
Bulgaria,2010,3.64,1.34,4.06,2.54,8.07
