Country,Year,Value
Australia,2000,2.49
Australia,2001,2.56
Australia,2002,2.56
Australia,2003,2.63
Australia,2004,2.71
Australia,2005,2.78
Australia,2006,2.84
Australia,2007,3.01
Australia,2008,3.02
Australia,2009,3.12
Australia,2011,3.32
Australia,2012,3.31
Australia,2013,3.37
Australia,2014,3.45
Australia,2015,3.51
Australia,2016,3.58
Australia,2017,3.68
Australia,2018,3.75
Australia,2019,3.83
Australia,2020,3.91
Australia,2021,4.02
Austria,2000,3.85
Austria,2001,3.96
Austria,2002,4.03
Austria,2003,4.11
Austria,2004,4.2
Austria,2005,4.32
Austria,2006,4.45
Austria,2007,4.52
Austria,2008,4.59
Austria,2009,4.67
Austria,2010,4.77
Austria,2011,4.82
Austria,2012,4.87
Austria,2013,4.96
Austria,2014,5.02
Austria,2015,5.06
Austria,2016,5.11
Austria,2017,5.16
Austria,2018,5.22
Austria,2019,5.29
Austria,2020,5.32
Austria,2021,5.41
Austria,2022,5.48
Belgium,2000,2.83
Belgium,2001,2.85
Belgium,2002,2.86
Belgium,2003,2.86
Belgium,2004,2.87
Belgium,2005,2.87
Belgium,2006,2.89
Belgium,2007,2.91
Belgium,2008,2.92
Belgium,2009,2.92
Belgium,2010,2.92
Belgium,2011,2.92
Belgium,2012,2.93
Belgium,2013,2.96
Belgium,2014,2.98
Belgium,2015,3.02
Belgium,2016,3.07
Belgium,2017,3.08
Belgium,2018,3.13
Belgium,2019,3.16
Belgium,2020,3.21
Belgium,2021,3.25
Canada,2000,2.1
Canada,2001,2.1
Canada,2002,2.11
Canada,2003,2.1
Canada,2004,2.13
Canada,2005,2.16
Canada,2006,2.18
Canada,2007,2.22
Canada,2008,2.26
Canada,2009,2.34
Canada,2010,2.38
Canada,2011,2.46
Canada,2012,2.51
Canada,2013,2.57
Canada,2014,2.62
Canada,2015,2.67
Canada,2016,2.69
Canada,2017,2.73
Canada,2018,2.78
Canada,2019,2.78
Canada,2020,2.77
Canada,2021,2.81
Canada,2022,2.8
Czechia,2000,3.37
Czechia,2001,3.45
Czechia,2002,3.51
Czechia,2003,3.53
Czechia,2004,3.52
Czechia,2005,3.56
Czechia,2006,3.57
Czechia,2007,3.57
Czechia,2008,3.56
Czechia,2009,3.58
Czechia,2010,3.6
Czechia,2011,3.64
Czechia,2012,3.67
Czechia,2013,3.69
Czechia,2018,4.04
Czechia,2019,4.07
Czechia,2020,4.1
Czechia,2021,4.26
Denmark,2000,2.91
Denmark,2001,2.93
Denmark,2002,3.04
Denmark,2003,3.08
Denmark,2004,3.23
Denmark,2005,3.33
Denmark,2006,3.42
Denmark,2007,3.46
Denmark,2008,3.58
Denmark,2009,3.65
Denmark,2010,3.73
Denmark,2011,3.79
Denmark,2012,3.84
Denmark,2013,3.85
Denmark,2014,3.88
Denmark,2015,3.93
Denmark,2016,4
Denmark,2017,4.11
Denmark,2018,4.2
Denmark,2019,4.25
Denmark,2020,4.38
Estonia,2000,2.94
Estonia,2001,2.78
Estonia,2002,2.96
