Country,Year,PPP
Australia,2000,1472.398
Australia,2001,1552.084
Australia,2002,1702.634
Australia,2003,1754.813
Australia,2004,1926.05
Australia,2005,1964.812
Australia,2006,2046.759
Australia,2007,2217.728
Australia,2008,2311.545
Australia,2009,2368.419
Australia,2010,2466.376
Australia,2011,2636.42
Australia,2012,2602.958
Australia,2013,2655.875
Australia,2014,3078.421
Australia,2015,3275.818
Australia,2016,3465.407
Australia,2017,3502.863
Australia,2018,3609.536
Australia,2019,3685.634
Australia,2020,4093.631
Australia,2021,4587.565
Australia,2022,4602.889
Austria,2000,2117.984
Austria,2001,2144.563
Austria,2002,2319.478
Austria,2003,2382.439
Austria,2004,2502.963
Austria,2005,2571.288
Austria,2006,2704.417
Austria,2007,2822.617
Austria,2008,3005.333
Austria,2009,3071.731
Austria,2010,3179.213
Austria,2011,3242.115
Austria,2012,3426.502
Austria,2013,3527.936
Austria,2014,3595.68
Austria,2015,3661.08
Austria,2016,3842.679
Austria,2017,3934.348
Austria,2018,4120.625
Austria,2019,4222.821
Austria,2020,4504.759
Austria,2021,5241.151
Austria,2022,5663.7
Belgium,2000,1714.562
Belgium,2001,1812.953
Belgium,2002,1951.293
Belgium,2003,2153.135
Belgium,2004,2316.13
Belgium,2005,2323.576
Belgium,2006,2384.856
Belgium,2007,2455.29
Belgium,2008,2687.003
Belgium,2009,2833.191
Belgium,2010,2981.499
Belgium,2011,3089.445
Belgium,2012,3244.821
Belgium,2013,3376.969
Belgium,2014,3498.937
Belgium,2015,3681.428
Belgium,2016,3850.358
Belgium,2017,3948.129
Belgium,2018,4100.433
Belgium,2019,4081.614
Belgium,2020,4292.961
Belgium,2021,4674.031
Belgium,2022,5057.595
Canada,2000,1714.748
Canada,2001,1829.327
Canada,2002,1910.43
Canada,2003,2038.457
Canada,2004,2181.901
Canada,2005,2299.773
Canada,2006,2420.939
Canada,2007,2581.542
Canada,2008,2685.2
Canada,2009,2755.281
Canada,2010,2897.058
Canada,2011,2961.86
Canada,2012,3055.619
Canada,2013,3139.507
Canada,2014,3209.575
Canada,2015,3282.159
Canada,2016,3522.563
Canada,2017,3600.212
Canada,2018,3719.369
Canada,2019,3630.292
Canada,2020,4332.676
Canada,2021,4577.51
Canada,2022,4506.145
Chile,2000,314.585
Chile,2001,326.815
Chile,2002,344.135
Chile,2003,368.896
Chile,2004,406.137
Chile,2005,429.094
Chile,2006,519.017
Chile,2007,583.189
Chile,2008,637.013
Chile,2009,773.595
Chile,2010,740.353
Chile,2011,805.926
Chile,2012,891.117
Chile,2013,984.124
Chile,2014,1034.529
Chile,2015,1077.144
Chile,2016,1135.48
Chile,2017,1274.817
Chile,2018,1375.913
Chile,2019,1392.014
Chile,2020,1571.871
Chile,2021,1679.242
Chile,2022,1679.256
Colombia,2011,601.315
Colombia,2012,619.278
Colombia,2013,699.502
Colombia,2014,752.201
Colombia,2015,789.755
Colombia,2016,838.273
Colombia,2017,872.91
Colombia,2018,920.899
Colombia,2019,947.719
Colombia,2020,1001.512
Colombia,2021,1200.977
Colombia,2022,1247.765
Costa Rica,2011,858.196
Costa Rica,2012,902.847
Costa Rica,2013,927.252
Costa Rica,2014,957.609
Costa Rica,2015,1034.842
Costa Rica,2016,1061.383
Costa Rica,2017,1083.6
Costa Rica,2018,1129.297
Costa Rica,2019,1150.589
Costa Rica,2020,1226.253
Costa Rica,2021,1244.093
Costa Rica,2022,1233.567
Czechia,2000,921.395
Czechia,2001,1036.759
Czechia,2002,1140.891
Czechia,2003,1245.882
Czechia,2004,1299.808
Czechia,2005,1322.908
Czechia,2006,1346.693
Czechia,2007,1406.267
Czechia,2008,1496.702
Czechia,2009,1706.016
Czechia,2010,1875.284
Czechia,2011,1884.882
Czechia,2012,1932.821
Czechia,2013,2015.274
Czechia,2014,2161.863
Czechia,2015,2197.229
Czechia,2016,2357.659
Czechia,2017,2505.925
Czechia,2018,2655.449
Czechia,2019,2780.961
Czechia,2020,3336.273
Czechia,2021,3718.546
Czechia,2022,3872.158
Denmark,2000,1949.462
Denmark,2001,2062.051
Denmark,2002,2272.534
Denmark,2003,2284.957
Denmark,2004,2440.172
Denmark,2005,2524.868
Denmark,2006,2758.679
Denmark,2007,2982.598
Denmark,2008,3174.025
Denmark,2009,3391.992
Denmark,2010,3593.404
Denmark,2011,3579.656
Denmark,2012,3733.537
Denmark,2013,3814.03
Denmark,2014,3874.565
Denmark,2015,3975.174
Denmark,2016,4118.832
Denmark,2017,4292.672
Denmark,2018,4444.355
Denmark,2019,4486.639
Denmark,2020,4828.686
Denmark,2021,5429.407
Denmark,2022,5324.07
Estonia,2000,417.955
Estonia,2001,427.236
Estonia,2002,478.306
Estonia,2003,564.019
Estonia,2004,631.86
Estonia,2005,693.409
Estonia,2006,743.668
Estonia,2007,895.178
Estonia,2008,1027.856
Estonia,2009,1052.4
Estonia,2010,1072.796
Estonia,2011,1110.458
Estonia,2012,1197.515
Estonia,2013,1273.967
Estonia,2014,1362.543
Estonia,2015,1449.341
Estonia,2016,1564.977
Estonia,2017,1619.694
Estonia,2018,1741.731
Estonia,2019,1826.198
Estonia,2020,2105.704
Estonia,2021,2343.295
Estonia,2022,2356.065
Finland,2000,1391.184
Finland,2001,1478.384
Finland,2002,1653.49
Finland,2003,1718.565
Finland,2004,1884.121
Finland,2005,1960.091
Finland,2006,2127.288
Finland,2007,2319.339
