Country,Year,PPP
Australia,2000,42.726
Australia,2001,45.013
Australia,2002,47.157
Australia,2003,55.59
Australia,2004,63.384
Australia,2005,65.32
Australia,2006,67.462
Australia,2007,46.294
Australia,2008,57.136
Australia,2009,68.284
Australia,2010,182.753
Australia,2011,193.338
Australia,2012,372.567
Australia,2013,378.495
Australia,2014,1919.742
Australia,2015,2003.64
Australia,2016,2063.97
Australia,2017,2083.998
Australia,2018,2218.968
Australia,2019,2292.831
Australia,2020,2494.361
Australia,2021,2677.512
Austria,2000,1771.298
Austria,2001,1778.332
Austria,2002,1872.745
Austria,2003,1907.822
Austria,2004,1983.211
Austria,2005,2026.413
Austria,2006,2124.761
Austria,2007,2175.363
Austria,2008,2340.636
Austria,2009,2552.561
Austria,2010,2659.099
Austria,2011,2680.296
Austria,2012,2776.053
Austria,2013,2887.446
Austria,2014,2897.162
Austria,2015,2941.932
Austria,2016,3046.985
Austria,2017,3081.536
Austria,2018,3138.216
Austria,2019,3260.575
Austria,2020,3390.462
Austria,2021,3493.754
Austria,2022,3537.192
Belgium,2003,2555.85
Belgium,2004,2564.98
Belgium,2005,2545.454
Belgium,2006,3029.504
Belgium,2007,3122.173
Belgium,2008,3192.411
Belgium,2009,3357.348
Belgium,2010,3428.373
Belgium,2011,3478.113
Belgium,2012,3671.202
Belgium,2013,3848.702
Belgium,2014,4044.059
Belgium,2015,4440.6
Belgium,2016,4827.062
Belgium,2017,4971.303
Belgium,2018,5179.001
Belgium,2019,5035.742
Belgium,2020,4774.829
Belgium,2021,5026.37
Belgium,2022,5453.508
Brazil,2015,89.854
Brazil,2016,99.738
Brazil,2017,104.197
Brazil,2018,105.267
Brazil,2019,105.217
Bulgaria,2005,30.362
Bulgaria,2006,9.062
Bulgaria,2007,8.182
Bulgaria,2008,2.013
Bulgaria,2009,0.961
Bulgaria,2010,1.641
Bulgaria,2011,2.281
Bulgaria,2012,4.526
Bulgaria,2013,5.624
Bulgaria,2014,6.122
Bulgaria,2015,7.444
Bulgaria,2016,5.746
Bulgaria,2017,6.01
Bulgaria,2018,7.044
Bulgaria,2019,8.772
Bulgaria,2020,181.028
Bulgaria,2021,316.247
Bulgaria,2022,434.899
Canada,2000,1743.894
Canada,2001,1798.009
Canada,2002,1850.734
Canada,2003,1892.401
Canada,2004,2051.886
Canada,2005,2093.244
Canada,2006,2119.064
Canada,2007,2248.341
Canada,2008,2333.288
Canada,2009,2519.059
Canada,2010,2854.894
Canada,2011,2907.927
Canada,2012,3207.017
Canada,2013,3350.398
Canada,2014,3439.632
Canada,2015,3589.518
Canada,2016,3775.114
Canada,2017,3974.967
Canada,2018,4131.376
Canada,2019,4241.786
Canada,2020,4446.128
Canada,2021,4738.768
Canada,2022,5141.441
Canada,2023,5421.984
Chile,2019,7.268
Chile,2020,13.896
Chile,2021,17.428
Chile,2022,18.452
Colombia,2013,1094.525
Colombia,2014,1156.029
Colombia,2015,1209.436
Colombia,2016,1274.048
Colombia,2017,1299.691
Costa Rica,2011,77.822
Costa Rica,2012,79.627
Costa Rica,2013,79.975
Costa Rica,2014,80.756
Costa Rica,2015,84.706
Costa Rica,2016,82.155
Costa Rica,2017,25.19
Costa Rica,2018,34.298
Costa Rica,2019,37.428
Costa Rica,2020,36.069
Costa Rica,2021,34.816
Costa Rica,2022,35.365
Croatia,2011,36.704
Croatia,2012,40.017
Croatia,2013,149.816
Croatia,2014,177.699
Croatia,2015,197.282
Croatia,2016,204.319
Croatia,2017,210.611
Croatia,2018,224.718
Croatia,2019,247.63
Croatia,2020,248.928
Croatia,2021,278.943
Croatia,2022,291.576
Czechia,2000,181.093
Czechia,2001,213
Czechia,2002,236.648
Czechia,2003,235.745
Czechia,2004,224.794
Czechia,2005,238.401
