Country,Year,Value
AUS,2000,7.36
AUS,2001,7.01
AUS,2002,7.27
AUS,2003,8.34
AUS,2004,8.69
AUS,2005,8.91
AUS,2006,9.21
AUS,2007,10.16
AUS,2008,11.24
AUS,2009,10.88
AUS,2010,12.08
AUS,2011,13.48
AUS,2012,13.98
AUS,2013,15.45
AUS,2014,15.31
AUS,2015,15.75
AUS,2016,15.95
AUS,2017,15.45
AUS,2018,15.85
AUS,2019,15.87
AUS,2020,14.96
AUS,2021,15.36
AUT,2000,14.19
AUT,2001,18.58
AUT,2002,12.79
AUT,2003,21.88
AUT,2004,18.59
AUT,2005,19.99
AUT,2006,18.98
AUT,2007,17.55
AUT,2008,22.05
AUT,2009,21.74
AUT,2010,20.64
AUT,2011,17.47
AUT,2012,16.76
AUT,2013,13.8
AUT,2014,14.73
AUT,2015,14.52
AUT,2016,13.94
AUT,2017,14.19
AUT,2018,15.23
AUT,2019,13.99
AUT,2020,14.44
AUT,2021,16.25
BEL,2000,10.14
BEL,2001,11.13
BEL,2002,10.22
BEL,2003,11.5
BEL,2004,8.01
BEL,2005,7.28
BEL,2006,6.46
BEL,2007,6.89
BEL,2008,7.08
BEL,2009,7.88
BEL,2010,8.99
BEL,2011,10.19
BEL,2012,10.62
BEL,2013,10.54
BEL,2014,11.5
BEL,2015,12.05
BEL,2016,14.24
BEL,2017,14.8
BEL,2018,28.72
BEL,2019,17.58
BEL,2020,16.61
BEL,2021,16.38
BEL,2022,15.78
CAN,2000,5.14
CAN,2001,4.95
CAN,2002,4.92
CAN,2003,5.24
CAN,2004,5.5
CAN,2005,5.82
CAN,2006,6.01
CAN,2007,6.22
CAN,2008,6.38
CAN,2009,6.95
CAN,2010,7.2
CAN,2011,7.36
CAN,2012,7.61
CAN,2013,7.58
CAN,2014,7.89
CAN,2015,7.88
CAN,2016,7.88
CAN,2017,7.69
CAN,2018,7.72
CAN,2019,7.6
CAN,2020,7.56
CAN,2021,7.48
CHE,2000,10.52
CHE,2001,10.84
CHE,2002,9.62
CHE,2003,8.52
CHE,2004,9.13
CHE,2005,8.36
CHE,2006,7.94
CHE,2007,8.1
CHE,2008,8.72
CHE,2009,9.41
CHE,2010,10.39
CHE,2011,9.4
CHE,2012,9.78
CHE,2013,9.72
CHE,2014,10.54
CHE,2015,10.79
CHE,2016,10.57
CHE,2017,11.19
CHE,2018,11.69
CHE,2019,11.86
CHE,2020,12.91
