Country,Year,Value
Australia,2000,7.36
Australia,2001,7.01
Australia,2002,7.27
Australia,2003,8.34
Australia,2004,8.69
Australia,2005,8.91
Australia,2006,9.21
Australia,2007,10.16
Australia,2008,11.24
Australia,2009,10.88
Australia,2010,12.08
Australia,2011,13.48
Australia,2012,13.98
Australia,2013,15.45
Australia,2014,15.31
Australia,2015,15.75
Australia,2016,15.95
Australia,2017,15.45
Australia,2018,15.85
Australia,2019,15.87
Australia,2020,14.96
Australia,2021,15.36
Austria,2000,14.19
Austria,2001,18.58
Austria,2002,12.79
Austria,2003,21.88
Austria,2004,18.59
Austria,2005,19.99
Austria,2006,18.98
Austria,2007,17.55
Austria,2008,22.05
Austria,2009,21.74
Austria,2010,20.64
Austria,2011,17.47
Austria,2012,16.76
Austria,2013,13.8
Austria,2014,14.73
Austria,2015,14.52
Austria,2016,13.94
Austria,2017,14.19
Austria,2018,15.23
Austria,2019,13.99
Austria,2020,14.44
Austria,2021,16.25
Belgium,2000,10.14
Belgium,2001,11.13
Belgium,2002,10.22
Belgium,2003,11.5
Belgium,2004,8.01
Belgium,2005,7.28
Belgium,2006,6.46
Belgium,2007,6.89
Belgium,2008,7.08
Belgium,2009,7.88
Belgium,2010,8.99
Belgium,2011,10.19
Belgium,2012,10.62
Belgium,2013,10.54
Belgium,2014,11.5
Belgium,2015,12.05
Belgium,2016,14.24
Belgium,2017,14.8
Belgium,2018,28.72
Belgium,2019,17.58
Belgium,2020,16.61
Belgium,2021,16.38
Belgium,2022,15.78
Canada,2000,5.14
Canada,2001,4.95
Canada,2002,4.92
Canada,2003,5.24
Canada,2004,5.5
Canada,2005,5.82
Canada,2006,6.01
Canada,2007,6.22
Canada,2008,6.38
Canada,2009,6.95
Canada,2010,7.2
Canada,2011,7.36
Canada,2012,7.61
Canada,2013,7.58
Canada,2014,7.89
Canada,2015,7.88
Canada,2016,7.88
Canada,2017,7.69
Canada,2018,7.72
Canada,2019,7.6
Canada,2020,7.56
Canada,2021,7.48
Chile,2005,4.61
Chile,2006,4.59
Chile,2007,4.02
Chile,2008,5.11
Chile,2009,6.33
Chile,2010,7.31
Chile,2011,6.91
Chile,2012,9.36
Chile,2013,7.35
Chile,2014,8.64
Chile,2015,9.42
Chile,2016,9.05
Chile,2017,8.67
Chile,2018,8.73
Chile,2019,9.13
Chile,2020,9.09
Chile,2021,2.54
Chile,2022,12.79
Colombia,2001,5.86
Colombia,2002,6.3
Colombia,2003,7.31
Colombia,2004,7.56
Colombia,2005,7.08
Colombia,2006,7.05
Colombia,2007,8.06
Colombia,2008,8.11
Colombia,2009,7.73
Colombia,2010,9.18
Colombia,2011,8.88
Colombia,2012,9.59
Colombia,2013,10.55
Colombia,2014,9.22
Colombia,2015,10.02
Colombia,2016,10.76
Colombia,2017,11.66
Colombia,2018,12.9
Colombia,2019,12.54
Colombia,2020,11.7
Czechia,2000,7.87
Czechia,2001,9.03
Czechia,2002,8.3
Czechia,2003,9.88
Czechia,2004,9.99
Czechia,2005,10.47
Czechia,2006,10.17
Czechia,2007,10.76
Czechia,2008,11.2
Czechia,2009,12.63
Czechia,2010,13.92
Czechia,2011,13.91
Czechia,2012,15.14
Czechia,2013,12.73
Czechia,2014,13.99
Czechia,2015,13.56
Czechia,2016,15.1
Czechia,2017,17.13
Czechia,2018,15.99
Czechia,2019,16.1
Czechia,2020,16.55
Czechia,2021,17.04
Denmark,2000,8.3
Denmark,2001,10.24
Denmark,2002,11.94
Denmark,2003,13.54
Denmark,2004,14.06
Denmark,2005,15.09
Denmark,2006,16.04
Denmark,2007,15.8
Denmark,2008,14.73
Denmark,2009,15.28
Denmark,2010,16.44
Denmark,2011,17.04
Denmark,2012,15.47
Denmark,2013,15.1
Denmark,2014,14.46
Denmark,2015,17.05
Denmark,2016,21.47
Denmark,2017,22.22
Denmark,2018,23.04
Denmark,2019,21.22
Denmark,2020,22.02
Estonia,2000,4.72
Estonia,2001,6.41
Estonia,2002,6.52
Estonia,2003,7.51
Estonia,2004,7.12
Estonia,2005,7.82
Estonia,2006,9.5
Estonia,2007,7.91
Estonia,2008,8.38
